City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,xilin hot,43.9667,116.0333,5.26,69,2,1.43,CN,1696027981
239,zeribet el oued,34.6828,6.5111,26.8,29,23,3.64,DZ,1696028539
240,amarillo,35.222,-101.8313,33.46,28,0,9.77,US,1696028476
241,marsh harbour,26.5412,-77.0636,28.82,76,82,3.97,BS,1696028539
242,tofol,5.3248,163.0078,28.88,84,100,2.57,FM,1696028031
243,zeya,53.75,127.2667,6.31,74,93,2.62,RU,1696028330
244,uturoa,-16.7333,-151.4333,25.72,78,64,8.03,PF,1696028031
245,vernon,50.2581,-119.2691,15.34,65,100,0.51,CA,1696027996
246,dalandzadgad,43.5708,104.425,8.35,28,0,3.05,MN,1696028160
247,bykovo,55.6361,38.0803,15.71,100,68,1.0,RU,1696028541
248,afaahiti,-17.75,-149.2833,26.93,86,32,8.34,PF,1696028028
249,sittwe,20.15,92.9,25.81,90,100,4.72,MM,1696028284
250,touros,-5.1989,-35.4608,25.09,76,91,7.55,BR,1696027682
251,cabedelo,-6.9811,-34.8339,25.37,71,85,6.61,BR,1696028281
252,aitape,-3.1374,142.3475,26.8,81,97,1.05,PG,1696028544
253,chegdomyn,51.1167,133.0167,7.21,91,100,0.06,RU,1696028546
254,tarnow,50.0138,20.987,13.73,67,3,2.24,PL,1696028549
255,aldan,58.6031,125.3894,3.04,91,98,0.9,RU,1696028549
256,bharatpur,27.2167,77.4833,25.76,44,20,1.92,IN,1696028550
257,limbe,4.0242,9.2149,24.56,86,97,1.39,CM,1696028550
258,malango,-2.9627,119.9001,20.48,90,66,0.27,ID,1696028550
259,bredy,52.4153,60.3411,10.92,73,99,2.11,RU,1696028551
260,jayapura,-2.5333,140.7,27.66,68,39,1.45,ID,1696028157
261,perugorria,-29.3413,-58.6106,16.19,73,21,3.71,AR,1696028551
262,stornoway,58.2093,-6.3865,10.05,84,40,3.6,GB,1696028552
263,kapuskasing,49.4169,-82.4331,23.0,38,75,4.12,CA,1696027967
264,yuzhno-kurilsk,44.0306,145.8556,15.8,79,73,3.03,RU,1696028020
265,topolobampo,25.6,-109.05,33.95,49,20,7.2,MX,1696028552
266,strelka,58.0728,93.0344,6.54,96,99,2.15,RU,1696028290
267,dudinka,69.4058,86.1778,-3.54,93,93,8.85,RU,1696027968
268,ambanja,-13.6833,48.45,23.13,84,82,1.03,MG,1696028553
269,alaghsas,17.0187,8.0168,32.97,16,22,4.58,NE,1696028024
270,college,64.8569,-147.8028,6.15,55,75,0.45,US,1696027908
271,chonchi,-42.6128,-73.8092,12.56,88,7,0.5,CL,1696027699
272,san ignacio,17.1561,-89.0714,28.08,89,40,3.09,BZ,1696028553
273,santana,-0.0583,-51.1817,31.1,58,20,4.12,BR,1696028326
274,kruisfontein,-34.0033,24.7314,14.94,58,88,1.09,ZA,1696028030
275,sundargarh,22.1167,84.0333,25.28,86,100,1.41,IN,1696028554
276,kailua-kona,19.6406,-155.9956,30.98,72,20,7.2,US,1696027828
277,crane,31.3974,-102.3501,32.71,30,0,9.34,US,1696027960
278,craig,40.5153,-107.5464,26.79,11,0,4.63,US,1696028554
279,mili,6.0815,171.735,27.54,80,100,8.6,MH,1696028137
280,valdosta,30.8327,-83.2785,26.95,75,40,2.06,US,1696028554
281,ad dabbah,18.05,30.95,35.91,17,11,3.75,SD,1696028164
282,qui nhon,13.7667,109.2333,25.58,86,22,2.3,VN,1696028555
283,mount isa,-20.7333,139.5,25.87,34,0,8.23,AU,1696027959
284,bijie,27.3125,105.2942,17.15,97,100,0.81,CN,1696028555
285,extrema,-22.8547,-46.3183,16.52,89,66,2.26,BR,1696028555
286,fort stockton,30.894,-102.8793,33.03,38,22,6.69,US,1696028556
287,puerto cabezas,14.0351,-83.3888,30.98,79,40,3.09,NI,1696028556
288,tocopilla,-22.092,-70.1979,18.33,72,21,3.53,CL,1696028556
289,yurty,56.0498,97.6348,5.97,96,96,2.24,RU,1696028556
290,bowen,-20.0167,148.2333,23.49,66,18,5.96,AU,1696028327
291,codrington,-38.2667,141.9667,18.59,52,57,6.48,AU,1696028155
292,san luis de la loma,17.2706,-100.8939,30.54,76,58,4.24,MX,1696028134
293,floro,61.5996,5.0328,12.98,82,100,11.32,NO,1696028557
294,new plymouth,-39.0667,174.0833,8.84,85,94,5.18,NZ,1696028557
295,natal,-5.795,-35.2094,26.12,83,40,3.6,BR,1696028040
296,sudzha,51.1976,35.2726,12.72,44,19,1.02,RU,1696028557
297,tomatlan,19.9333,-105.25,29.34,83,50,4.03,MX,1696028342
298,kura,11.7697,8.4303,26.0,80,51,3.65,NG,1696028557
299,manta,-0.95,-80.7333,24.88,73,75,5.14,EC,1696028557
300,huaicheng,23.9051,112.1931,24.46,92,23,0.46,CN,1696028558
301,tinajo,29.0788,-13.7081,23.49,73,20,1.54,ES,1696028558
302,barra,-11.0894,-43.1417,29.5,34,10,3.28,BR,1696028558
303,bukama,-9.2,25.85,22.62,87,92,1.91,CD,1696028164
304,durban,-29.8579,31.0292,18.51,57,1,2.66,ZA,1696028306
305,katsuura,35.1333,140.3,25.7,79,71,1.46,JP,1696028558
306,saint-pierre,-21.3393,55.4781,20.87,68,100,3.09,RE,1696028023
307,selfoss,63.9331,-20.9971,3.36,71,82,1.99,IS,1696027970
308,marsabit,2.3284,37.9899,19.13,74,37,10.25,KE,1696028301
309,colinas,-6.0258,-44.2492,29.98,31,85,0.49,BR,1696028558
310,lacin,40.7702,34.8984,14.77,96,37,1.75,TR,1696028558
311,puerto del rosario,28.5004,-13.8627,23.86,73,0,0.51,ES,1696028558
312,morelos,18.75,-99.0,27.63,59,10,1.81,MX,1696028192
313,new norfolk,-42.7826,147.0587,15.4,48,97,3.08,AU,1696027992
314,antsiranana,-12.2787,49.2917,22.8,79,23,7.35,MG,1696028335
315,auki,-8.7676,160.7034,28.6,74,100,2.35,SB,1696028155
316,urangan,-25.3,152.9,21.13,63,0,1.95,AU,1696028039
317,quatre cocos,-20.2078,57.7625,23.06,81,31,5.06,MU,1696028559
318,nagqu,31.5,92.0,0.94,90,74,1.68,CN,1696027973
319,marivan,35.5219,46.176,17.31,28,0,0.86,IR,1696028559
320,arraial do cabo,-22.9661,-42.0278,20.92,83,75,5.14,BR,1696028024
321,shingu,33.7333,135.9833,25.43,77,69,0.87,JP,1696028559
322,namibe,-15.1961,12.1522,18.13,86,71,4.6,AO,1696027997
323,mount pearl,47.5166,-52.7813,10.19,85,75,1.03,CA,1696028282
324,leo,11.1,-2.1,24.46,82,70,2.16,BF,1696028560
325,yutz,49.3587,6.1892,15.61,91,93,0.68,FR,1696028560
326,tobol'sk,58.2,68.2667,5.88,91,100,5.72,RU,1696028560
327,hadibu,12.65,54.0333,26.55,83,96,2.22,YE,1696028035
328,kirakira,-10.4544,161.9205,27.03,84,100,5.81,SB,1696028151
329,khandyga,62.6667,135.6,0.67,50,73,1.95,RU,1696028164
330,nguigmi,14.2495,13.1092,28.95,51,51,2.34,NE,1696028560
